Date,Open,High,Low,Close,Volume,Symbol
2025-02-10,229.57,230.585,227.2,227.65,33115645,AAPL
2025-02-11,228.2,235.23,228.13,232.62,53718362,AAPL
2025-02-12,231.2,236.96,230.68,236.87,45243292,AAPL
2025-02-13,236.91,242.3399,235.57,241.53,53614054,AAPL
2025-02-14,241.25,245.55,240.99,244.6,40896227,AAPL
2025-02-18,244.15,245.18,241.84,244.47,48822491,AAPL
2025-02-19,244.66,246.01,243.1604,244.87,32204215,AAPL
2025-02-20,244.94,246.78,244.29,245.83,32316907,AAPL
2025-02-21,245.95,248.69,245.22,245.55,53197431,AAPL
2025-02-24,244.925,248.86,244.42,247.1,51326396,AAPL
2025-02-25,248.0,250.0,244.91,247.04,48013272,AAPL
2025-02-26,244.33,244.98,239.13,240.36,44433564,AAPL
2025-02-27,239.41,242.46,237.06,237.3,41153639,AAPL
2025-02-28,236.95,242.09,230.2,241.84,56833360,AAPL
2025-03-03,241.79,244.0272,236.112,238.03,47183985,AAPL
2025-03-04,237.705,240.07,234.68,235.93,53798062,AAPL
2025-03-05,235.42,236.55,229.23,235.74,47227643,AAPL
2025-03-06,234.435,237.86,233.1581,235.33,45170419,AAPL
2025-03-07,235.105,241.37,234.76,239.07,46273565,AAPL
2025-03-10,235.54,236.16,224.22,227.48,71451281,AAPL
2025-03-11,223.805,225.8399,217.45,220.84,76137410,AAPL
2025-03-12,220.14,221.75,214.91,216.98,62547467,AAPL
2025-03-13,215.95,216.8394,208.42,209.68,61368330,AAPL
2025-03-14,211.25,213.95,209.58,213.49,60107582,AAPL
2025-03-17,213.31,215.22,209.97,214.0,48073426,AAPL
2025-03-18,214.16,215.15,211.49,212.69,42432426,AAPL
2025-03-19,214.22,218.76,213.75,215.24,54385391,AAPL
2025-03-20,213.99,217.4899,212.22,214.1,48862947,AAPL
2025-03-21,211.56,218.84,211.28,218.27,94127768,AAPL
2025-03-24,221.0,221.48,218.58,220.73,44299483,AAPL
2025-03-25,220.77,224.1,220.08,223.75,34493583,AAPL
2025-03-26,223.51,225.02,220.47,221.53,34532656,AAPL
2025-03-27,221.39,224.99,220.5601,223.85,37094774,AAPL
2025-03-28,221.67,223.81,217.68,217.9,39818617,AAPL
2025-03-31,217.005,225.62,216.23,222.13,65299321,AAPL
2025-04-01,219.805,223.68,218.9,223.19,36412740,AAPL
2025-04-02,221.315,225.19,221.02,223.89,35905904,AAPL
2025-04-03,205.54,207.49,201.25,203.19,103419006,AAPL
2025-04-04,193.89,199.88,187.34,188.38,125910913,AAPL
2025-04-07,177.2,194.15,174.62,181.46,160466286,AAPL
2025-04-08,186.7,190.335,169.2101,172.42,120859491,AAPL
2025-04-09,171.95,200.61,171.89,198.85,184395885,AAPL
2025-04-10,189.065,194.7799,183.0,190.42,121879981,AAPL
2025-04-11,186.1,199.54,186.06,198.15,87435915,AAPL
2025-04-14,211.44,212.94,201.1621,202.52,101352911,AAPL
2025-04-15,201.855,203.51,199.8,202.14,51343872,AAPL
2025-04-16,198.36,200.7,192.37,194.27,59732423,AAPL
2025-04-17,197.2,198.8335,194.42,196.98,52164675,AAPL
2025-04-21,193.265,193.8,189.8112,193.16,46742537,AAPL
2025-04-22,196.12,201.59,195.97,199.74,52976371,AAPL
2025-04-23,206.0,208.0,202.799,204.6,52929165,AAPL
2025-04-24,204.89,208.8299,202.94,208.37,47310989,AAPL
2025-04-25,206.365,209.75,206.2,209.28,38222258,AAPL
2025-04-28,210.0,211.5,207.46,210.14,38743074,AAPL
2025-04-29,208.693,212.24,208.37,211.21,36827633,AAPL
2025-04-30,209.3,213.58,206.6705,212.5,52286454,AAPL
2025-05-01,209.08,214.56,208.9,213.32,57365675,AAPL
2025-05-02,206.09,206.99,202.16,205.35,101010621,AAPL
2025-05-05,203.1,204.1,198.21,198.89,69018452,AAPL
2025-05-06,198.21,200.65,197.02,198.51,51216482,AAPL
2025-05-07,199.17,199.44,193.25,196.25,68616943,AAPL
2025-05-08,197.72,200.05,194.6796,197.49,50478872,AAPL
2025-05-09,199.0,200.5399,197.535,198.53,36453923,AAPL
2025-05-12,210.97,211.2679,206.75,210.79,63775814,AAPL
2025-05-13,210.43,213.4,209.0,212.93,51909332,AAPL
2025-05-14,212.43,213.94,210.5801,212.33,49325825,AAPL
2025-05-15,210.95,212.96,209.54,211.45,45029473,AAPL
2025-05-16,212.36,212.57,209.77,211.26,54737850,AAPL
2025-05-19,207.91,209.48,204.26,208.78,46140527,AAPL
2025-05-20,207.67,208.47,205.03,206.86,42496635,AAPL
2025-05-21,205.17,207.04,200.71,202.09,59211774,AAPL
2025-05-22,200.71,202.75,199.7,201.36,46742407,AAPL
2025-05-23,193.665,197.7,193.46,195.27,78432918,AAPL
2025-05-27,198.3,200.74,197.43,200.21,56288475,AAPL
2025-05-28,200.59,202.73,199.9,200.42,45339678,AAPL
2025-05-29,203.575,203.81,198.51,199.95,51477938,AAPL
2025-05-30,199.37,201.96,196.78,200.85,70819942,AAPL
2025-06-02,200.28,202.13,200.12,201.7,35423294,AAPL
2025-06-03,201.35,203.77,200.955,203.27,46381567,AAPL
2025-06-04,202.91,206.24,202.1,202.82,43603985,AAPL
2025-06-05,203.5,204.75,200.15,200.63,55221235,AAPL
2025-06-06,203.0,205.7,202.05,203.92,46607693,AAPL
2025-06-09,204.39,206.0,200.02,201.45,72862557,AAPL
2025-06-10,200.6,204.35,200.57,202.67,54672608,AAPL
2025-06-11,203.5,204.5,198.41,198.78,60989857,AAPL
2025-06-12,199.08,199.68,197.3601,199.2,43904635,AAPL
2025-06-13,199.73,200.37,195.7,196.45,51447349,AAPL
2025-06-16,197.3,198.685,196.5636,198.42,43020691,AAPL
2025-06-17,197.2,198.39,195.21,195.64,38856152,AAPL
2025-06-18,195.94,197.57,195.07,196.58,45394689,AAPL
2025-06-20,198.235,201.7,196.855,201.0,96813542,AAPL
2025-06-23,201.625,202.3,198.96,201.5,55814272,AAPL
2025-06-24,202.59,203.44,200.2,200.3,54064033,AAPL
2025-06-25,201.45,203.67,200.6201,201.56,39525730,AAPL
2025-06-26,201.43,202.64,199.46,201.0,50799121,AAPL
2025-06-27,201.89,203.22,200.0,201.08,73188571,AAPL
2025-06-30,202.01,207.39,199.2607,205.17,91912816,AAPL
2025-07-01,206.665,210.1865,206.1401,207.82,78788867,AAPL
2025-07-02,208.91,213.34,208.14,212.44,67941811,AAPL
2025-07-03,212.145,214.65,211.8101,213.55,34955836,AAPL
