Date,Open,High,Low,Close,Volume,Symbol
2025-02-10,276.15,276.18,269.59,271.04,8627352,JPM
2025-02-11,270.26,276.22,269.66,274.99,7196376,JPM
2025-02-12,274.08,276.45,273.25,275.45,6683894,JPM
2025-02-13,275.5,276.97,273.81,276.32,8398667,JPM
2025-02-14,277.37,279.2334,276.45,276.59,5688627,JPM
2025-02-18,276.76,279.97,276.02,279.95,7919798,JPM
2025-02-19,278.38,280.25,277.22,279.25,7007248,JPM
2025-02-20,278.675,278.74,265.735,266.8,13846671,JPM
2025-02-21,268.32,269.1955,262.84,264.24,12835566,JPM
2025-02-24,265.49,267.0,258.61,261.34,10372751,JPM
2025-02-25,262.23,263.0,253.35,257.4,9608439,JPM
2025-02-26,257.16,260.9115,256.93,258.79,5943585,JPM
2025-02-27,260.18,263.64,257.86,259.05,8204447,JPM
2025-02-28,260.73,264.81,257.89,264.65,10467126,JPM
2025-03-03,264.0,266.32,257.82,260.62,9058307,JPM
2025-03-04,255.28,257.23,245.95,250.25,13465630,JPM
2025-03-05,251.25,253.05,247.83,251.53,7861424,JPM
2025-03-06,248.11,249.36,243.85,246.54,9983235,JPM
2025-03-07,245.23,246.72,239.42,242.28,20498734,JPM
2025-03-10,236.21,237.51,228.7,232.22,18730564,JPM
2025-03-11,231.745,233.32,226.69,229.14,18142995,JPM
2025-03-12,234.0,234.32,227.26,227.9,16054015,JPM
2025-03-13,229.3,229.5,224.23,225.19,16467851,JPM
2025-03-14,228.12,233.143,227.58,232.44,11962108,JPM
2025-03-17,231.18,235.6695,230.455,233.93,9586025,JPM
2025-03-18,234.32,236.17,233.52,234.97,10344866,JPM
2025-03-19,235.74,242.33,234.89,239.11,10120588,JPM
2025-03-20,236.56,241.76,236.2,239.01,8328513,JPM
2025-03-21,237.81,242.3,236.5,241.63,19326865,JPM
2025-03-24,245.48,248.69,244.41,248.06,9422650,JPM
2025-03-25,249.31,251.82,247.6247,251.13,9287694,JPM
2025-03-26,252.6,254.67,249.78,251.03,12785225,JPM
2025-03-27,249.525,250.64,247.18,248.12,8022517,JPM
2025-03-28,246.94,249.505,241.11,242.85,11978417,JPM
2025-03-31,239.41,245.86,237.3643,245.3,13602996,JPM
2025-04-01,242.62,245.69,240.8818,243.66,8054683,JPM
2025-04-02,241.6,247.245,241.46,245.82,7758750,JPM
2025-04-03,234.27,235.14,227.3,228.69,17188469,JPM
2025-04-04,215.305,217.7,208.93,210.28,27170689,JPM
2025-04-07,205.77,222.053,202.16,214.44,22914370,JPM
2025-04-08,223.52,227.8378,213.25,216.87,19485734,JPM
