Date,Open,High,Low,Close,Volume,Symbol
2025-02-10,718.56,721.2,711.33,717.4,12904317,META
2025-02-11,713.32,723.66,710.04,719.8,12997959,META
2025-02-12,715.3,727.1,712.6,725.38,12016517,META
2025-02-13,721.5197,729.0,718.04,728.56,12569064,META
2025-02-14,726.14,740.91,725.62,736.67,16901249,META
2025-02-18,736.0,737.0,706.44,716.37,21938703,META
2025-02-19,704.095,707.0,695.39,703.77,17535480,META
2025-02-20,697.275,705.63,693.64,694.84,12587408,META
2025-02-21,696.58,703.87,682.36,683.55,15660355,META
2025-02-24,686.28,687.27,662.45,668.13,15676994,META
2025-02-25,665.972,668.0,641.86,657.5,20579662,META
2025-02-26,659.65,683.0078,658.0,673.7,14488705,META
2025-02-27,682.45,688.6469,657.57,658.24,12500013,META
2025-02-28,658.04,669.63,642.6017,668.2,17534168,META
2025-03-03,673.675,681.25,650.8439,655.05,10843763,META
2025-03-04,645.51,649.75,623.65,640.0,21495208,META
2025-03-05,641.0,659.5,637.66,656.47,13770026,META
2025-03-06,648.0,650.5625,624.11,627.93,13446454,META
2025-03-07,625.37,634.79,600.61,625.66,21375671,META
2025-03-10,608.07,610.11,586.87,597.99,21395988,META
2025-03-11,595.055,614.934,593.33,605.71,17401469,META
2025-03-12,629.9,633.33,609.35,619.56,15746966,META
2025-03-13,620.245,620.5,586.51,590.64,16480324,META
2025-03-14,602.805,608.86,594.78,607.6,12364505,META
2025-03-17,607.46,613.1,598.0,604.9,15473909,META
2025-03-18,600.05,600.25,574.66,582.36,20297708,META
2025-03-19,584.28,592.3223,574.77,584.06,20537498,META
2025-03-20,582.755,610.2,579.51,586.0,24336505,META
2025-03-21,583.425,597.545,580.95,596.25,25015864,META
2025-03-24,614.97,622.54,612.2001,618.85,15741274,META
2025-03-25,626.76,633.88,621.18,626.31,15312540,META
2025-03-26,624.89,626.7499,606.61,610.98,12661891,META
2025-03-27,602.0,614.25,600.1,602.58,10436524,META
2025-03-28,600.31,601.75,573.92,576.74,17602823,META
2025-03-31,563.5,578.7,553.3,576.36,21124677,META
2025-04-01,570.84,589.91,570.0,586.0,12836574,META
2025-04-02,574.91,592.66,573.36,583.93,13470778,META
2025-04-03,546.22,552.5596,530.3,531.62,34777460,META
2025-04-04,506.62,518.0,494.2,504.73,38589814,META
2025-04-07,485.1,539.37,481.9,516.25,36606136,META
2025-04-08,543.25,547.43,502.86,510.45,28034211,META
2025-04-09,509.265,587.89,502.11,585.77,39216578,META
2025-04-10,575.49,581.3,535.3,546.29,28173491,META
2025-04-11,535.505,547.4,528.5901,543.57,17642327,META
2025-04-14,556.175,557.77,528.28,531.48,14130928,META
2025-04-15,532.105,537.94,517.5,521.52,15558659,META
2025-04-16,508.51,513.37,495.63,502.31,18735075,META
2025-04-17,505.25,507.3,498.0133,501.48,14593508,META
2025-04-21,491.325,493.5,479.8,484.66,16165982,META
2025-04-22,491.87,506.88,486.36,500.28,17399408,META
2025-04-23,528.525,535.3376,516.52,520.27,18173910,META
2025-04-24,518.73,533.9,517.5,533.15,13910011,META
2025-04-25,546.8,549.86,536.25,547.27,17098921,META
2025-04-28,555.64,558.4899,540.59,549.74,15178995,META
2025-04-29,546.0,556.5699,544.12,554.44,11835036,META
2025-04-30,538.4,549.1,529.5,549.0,29243971,META
2025-05-01,592.075,592.95,570.5,572.21,31159033,META
2025-05-02,583.455,604.34,578.33,597.02,24739260,META
2025-05-05,591.22,603.21,588.05,599.27,13887724,META
2025-05-06,592.525,596.03,586.58,587.31,10600650,META
2025-05-07,590.36,603.075,586.67,596.81,13160976,META
2025-05-08,606.285,611.2959,596.62,598.01,14622805,META
2025-05-09,603.72,606.97,591.7062,592.49,10427286,META
2025-05-12,630.92,640.3896,621.03,639.43,21965085,META
2025-05-13,645.545,660.92,642.83,656.03,18570821,META
2025-05-14,661.21,662.67,654.31,659.36,12348179,META
2025-05-15,654.275,657.31,638.58,643.88,14341835,META
2025-05-16,637.955,640.44,626.15,640.34,18518972,META
2025-05-19,628.25,643.0,627.8,640.43,9592374,META
2025-05-20,636.01,639.3536,632.26,637.1,6743473,META
2025-05-21,631.79,646.61,630.17,635.5,11464569,META
2025-05-22,634.05,643.25,630.71,636.57,8228443,META
2025-05-23,624.0,632.445,622.65,627.06,8454067,META
2025-05-27,635.41,643.08,632.75,642.32,9508367,META
2025-05-28,642.6,650.88,642.5472,643.58,9042874,META
2025-05-29,651.645,653.32,639.5,645.05,8883436,META
2025-05-30,642.5,649.4099,632.78,647.49,16240951,META
2025-06-02,644.39,673.26,644.2616,670.9,15766258,META
2025-06-03,671.445,675.58,665.03,666.85,11585031,META
2025-06-04,669.32,689.0,668.57,687.95,14031931,META
2025-06-05,691.66,694.38,682.25,684.62,13120335,META
2025-06-06,696.17,702.806,691.87,697.71,11727961,META
2025-06-09,698.46,705.19,693.94,694.06,12773221,META
2025-06-10,701.345,703.23,691.56,702.4,10850146,META
2025-06-11,703.705,708.8707,691.99,694.14,9582508,META
2025-06-12,693.3,695.38,687.0,693.36,7322730,META
2025-06-13,687.95,694.57,681.01,682.87,9274441,META
2025-06-16,699.33,707.15,693.5103,702.12,13720288,META
2025-06-17,702.0,705.97,696.06,697.23,10066110,META
2025-06-18,698.18,701.59,694.9,695.77,10068255,META
2025-06-20,700.75,701.8197,678.67,682.35,22538640,META
2025-06-23,683.69,699.05,678.75,698.53,11080055,META
2025-06-24,704.885,713.19,702.11,712.2,13823180,META
2025-06-25,713.315,716.58,705.38,708.68,9320436,META
2025-06-26,714.355,728.22,711.05,726.09,13964793,META
2025-06-27,726.515,735.43,725.86,733.63,18775735,META
2025-06-30,744.55,747.9,734.25,738.09,15402105,META
2025-07-01,736.875,737.7499,715.37,719.22,13431248,META
2025-07-02,715.325,720.3,712.8,713.57,9336740,META
2025-07-03,726.61,729.03,714.42,719.01,8601653,META
