Date,Open,High,Low,Close,Volume,Symbol,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,WMA_20,RSI_14,RSI_7,STOCH_K,STOCH_D,WILLIAMS_R,ROC_10,ROC_20,MFI_14,MACD,MACD_SIGNAL,MACD_HISTOGRAM,ADX_14,ADX_POS,ADX_NEG,PSAR,TRIX,MASS_INDEX,CCI_20,DPO_20,BB_HIGH,BB_LOW,BB_MID,BB_WIDTH,BB_PERCENT,ATR_14,ATR_20,KELTNER_HIGH,KELTNER_LOW,KELTNER_MID,DONCHIAN_HIGH,DONCHIAN_LOW,DONCHIAN_MID,OBV,CMF_20,AD_LINE,VOLUME_SMA_20,VOLUME_RATIO,PVT,NVI,HIGH_LOW_RATIO,CLOSE_OPEN_RATIO,DAILY_RETURN,VOLATILITY_10,VOLATILITY_30,PRICE_POSITION,GAP,GAP_PERCENT,RESISTANCE_20,SUPPORT_20,TREND_STRENGTH,VOLUME_TREND,RSI_OVERSOLD,RSI_OVERBOUGHT,MACD_BULLISH,MACD_BEARISH,MA_BULLISH,MA_BEARISH,BB_SQUEEZE,BB_BREAKOUT_UP,BB_BREAKOUT_DOWN,VOLUME_SPIKE,BULLISH_SCORE,BEARISH_SCORE,NET_SIGNAL
2025-02-10,718.56,721.2,711.33,717.4,12904317,META,,,,,,717.4,717.4,717.4,,,,,,,,,,,,,0.0,0.0,0.0,717.4,,,,,,,,,,0.0,0.0,726.5133333333333,706.7733333333334,,,,,12904317,,2967862.1671730783,,,,1000.0,1.0138754164733668,0.9983856602093075,,,,0.6149949341438635,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,713.32,723.66,710.04,719.8,12997959,META,,,,,,718.6999999999999,718.6461538461539,718.6239999999999,,,,,,,,,,,,,0.0,0.0,0.0,719.8,,,,,,,,,,0.0,0.0,728.9833333333333,705.4933333333333,,,,,25902276,,8598402.409463804,,,43483.55394479942,1000.0,1.0191820179144837,1.0090842819491952,0.003345413994981783,,,0.7165932452276056,-4.079999999999927,-0.5687203791469093,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,715.3,727.1,712.6,725.38,12016517,META,,,,,,721.3072055427251,721.0655593888615,720.9666684442075,,,,,,,,,,,,,0.0,0.0,0.0,721.2,,,,,,,,,,0.0,0.0,731.3866666666667,706.06,,,,,37918793,,17764104.34187755,,,136637.43677336228,1007.7521533759377,1.0203480213303395,1.0140919893750875,0.007752153375937709,,,0.8813793103448258,-4.5,-0.6251736593498194,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-13,721.5197,729.0,718.04,728.56,12569064,META,,,,,,723.5966293103448,723.1606774798317,722.9803890043983,,,,,,,,,,,,,0.0,0.0,0.0,712.6,,,,,,,,,,0.0,0.0,732.5799999999999,708.105,,,,,50487857,,29323973.4221694,,,191739.07111674032,1007.7521533759377,1.0152637736059273,1.009757599134161,0.004383909123493845,,,0.9598540145985353,-3.860300000000052,-0.5321762386611227,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-14,726.14,740.91,725.62,736.67,16901249,META,725.562,,,,,727.1486174028025,726.293545092796,725.9416349527855,,,,,,,,,,,,,0.0,0.0,0.0,712.6,,,,,,,,,,0.0,0.0,736.002,710.3059999999999,,,,,67389106,,36851606.233810954,,,379876.1214489022,1007.7521533759377,1.0210716352911993,1.0145013358305561,0.011131547161524091,,,0.7226945716154337,-2.419999999999959,-0.3321620731305533,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-18,736.0,737.0,706.44,716.37,21938703,META,725.356,,,,,724.528846312967,724.3059381580653,724.1826707853415,,,,,,,,,,,,,0.0,0.0,0.0,740.91,,,,,,,,,,0.0,0.0,738.4177777777777,706.8177777777778,,,,,45450403,,29170188.625826612,,,-224676.35238605563,1007.7521533759377,1.0432591585980409,0.9733288043478261,-0.0275564363962153,,,0.32493455497382095,-0.6699999999999591,-0.09094981470671523,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-19,704.095,707.0,695.39,703.77,17535480,META,722.15,,,,,719.8965823878896,720.6537280121348,720.9052297099425,,,28.712768146793252,,,,,,,,,,0.0,0.0,0.0,740.91,,,,,,,,,,0.0,0.0,734.8814285714286,704.4785714285714,,,,,27914923,,36948631.51988342,,,-533102.2328668132,990.0271270173007,1.0166956671795684,0.999538414560535,-0.017588676242723755,,,0.7217915590008601,-12.274999999999977,-1.7135000069796302,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-20,697.275,705.63,693.64,694.84,12587408,META,716.042,,,,,714.6676598433008,716.4944968084181,717.1730894090464,,,23.015053095309383,,,,,,,,,,0.0,0.0,0.0,739.0892,,,,,,,,,,0.0,0.0,731.7745833333333,702.1745833333333,,,,,15327515,,26880804.770926043,,,-692821.3931606584,977.4648662726477,1.0172856236664551,0.9965078340683375,-0.012688804581042046,,,0.10008340283570014,-6.4950000000000045,-0.922886738565157,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-21,696.58,703.87,682.36,683.55,15660355,META,707.04,,,,,708.5114791562352,711.6113991529467,712.8121790080561,,,17.803934821301695,,,,,,,,,,0.0,0.0,0.0,736.362248,,,,,,,,,,0.0,0.0,729.5148148148148,698.4237037037037,,,,,-332840,,12953208.715602852,,,-947276.2431261202,977.4648662726477,1.0315229497625886,0.9812943236957706,-0.01624834494272076,,,0.05532310553230783,1.740000000000009,0.250417362270452,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,686.28,687.27,662.45,668.13,15676994,META,693.332,709.4469999999999,,,,700.8592045501643,705.6113892607272,707.4977755680862,,,13.083515145046292,,,,,,,,,,0.0,0.0,0.0,732.04206816,,,,,,,,,,0.0,0.0,726.307,693.361,,,,,-16009834,,4451502.863870334,,,-1300928.8617787417,977.4648662726477,1.0374669786398973,0.9735530687183074,-0.02255870089971468,,,0.2288477034649462,2.730000000000018,0.39938556067588593,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-25,665.972,668.0,641.86,657.5,20579662,META,681.558,703.457,,,,692.9255155817488,699.3713268319009,701.990220697775,,,10.783982972290204,,,,-8.349595762475603,,,,,,0.0,0.0,0.0,725.082861344,,,,,,,,,,0.0,0.0,722.2724242424242,687.5687878787878,,,,,-36589496,,8498154.075806055,,,-1628352.8766560866,977.4648662726477,1.0407253918299941,0.9872787444517187,-0.0159100773801506,0.013871001516677237,,0.5983167559296095,-2.1580000000000155,-0.3229910346788822,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-26,659.65,683.0078,658.0,673.7,14488705,META,675.5440000000001,698.847,,,,689.5072820259818,696.2171998426113,699.0803129625494,,,32.02565204649677,,,,-6.4045568213392485,,,,,,0.0,0.0,0.0,715.09611798272,,,,,,,,,,0.0,0.0,720.1311444444444,684.1515111111111,,,,,-22100791,,12201586.608895803,,,-1271368.8142986728,1001.5484112667417,1.038005775075988,1.0212991738042903,0.02463878326996194,0.017153429270487835,,0.6278041251129672,2.1499999999999773,0.3269961977186277,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-27,682.45,688.6469,657.57,658.24,12500013,META,668.2239999999999,692.133,,,,684.0780940383917,691.768177731132,695.1308697475371,,,25.31499653642433,,,,-9.255838319225782,,,,,,0.0,0.0,0.0,706.3077838247935,,,,,,,,,,0.0,0.0,718.5233025641026,680.5302717948719,,,,,-34600804,,240559.71819238737,,,-1558217.8583538905,978.5649788217605,1.0472602156424409,0.9645248736171148,-0.022947899658601778,0.01707338178888786,,0.02155942195006455,8.75,1.298797684429271,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-28,658.04,669.63,642.6017,668.2,17534168,META,665.1540000000001,686.097,,,,681.3745615827441,689.1211908925454,692.6681136779316,,33.18405522855201,35.47697606102963,26.592629984856178,,-73.40737001514383,-8.284835840562192,,34.95513789670248,,,,0.0,0.0,0.0,698.5740497658184,,,,,,,,,,20.28449999999998,0.0,716.2839380952381,677.1435095238095,,,,,-17066636,,15919349.44874894,,,-1292903.8189761548,978.5649788217605,1.04206073528906,1.0154397908941708,0.0151312591152164,0.018338271016076466,,0.9470924919436312,-0.20000000000004547,-0.03038405444823248,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-03,673.675,681.25,650.8439,655.05,10843763,META,662.538,677.9350000000001,,,,676.9647468568672,685.4355226264304,689.3987993637753,,29.054350843229074,29.3298987195366,13.316506814739977,,-86.68349318526003,-11.079587875167988,,38.10960991249394,,,,0.0,0.0,0.0,691.7683637939201,,,,,,,,,,21.007471428571414,0.0,714.7175022222222,674.1322888888889,,,,,-27910399,,8075639.172005121,,,-1506306.218631948,959.3070777868813,1.046717961096355,0.9723531376405536,-0.019679736605806797,0.0172361578274588,,0.13833079546538316,5.474999999999909,0.8193654594432668,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-04,645.51,649.75,623.65,640.0,21495208,META,659.038,670.298,,,,670.8560309881941,680.6825937157969,685.3010791222306,,25.190489411508935,23.819198740274885,13.94337369947128,17.95083683302248,-86.05662630052872,-10.660692100450884,,30.896290435256773,,,,0.0,15.362578266027707,37.83653286393897,685.7793601386497,,,,,,,,,,21.749794897959166,0.0,711.5414083333333,670.2302708333333,,,,,-49405607,,13511209.011085594,,,-2000166.0467366714,959.3070777868813,1.0418503968572117,0.991464113646574,-0.02297534539348134,0.0168190249114807,,0.6264367816091957,-9.539999999999964,-1.4563773757728362,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-05,641.0,659.5,637.66,656.47,13770026,META,655.592,665.568,,,,668.5054501356425,678.2248040082302,683.009704540031,,35.326731195013664,38.55808961415149,27.989084086645107,18.416321533618788,-72.01091591335489,-6.720945763530693,,31.029692916923253,,,,0.0,17.401953956490175,35.201212836466034,681.25,,,,,,,,,,21.756238119533513,0.0,709.2772078431373,667.826725490196,,,,,-35635581,,23460431.093503214,,,-1645803.0338929202,983.9942458668032,1.034250227393909,1.0241341653666147,0.025734375000000087,0.020197364256511235,,0.8612637362637378,1.0,0.15625,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06,648.0,650.5625,624.11,627.93,13446454,META,649.53,658.877,,,,661.9383906464809,673.2557660445254,678.8016164106672,,28.19706618917934,27.717005134625666,3.6500085280572856,15.19415543805789,-96.34999147194272,-9.629555005468896,,25.16029704078875,,,,0.0,15.661379503006618,35.86850510640196,673.186,,,,,,,,,,22.513649682423978,0.0,706.5758814814815,664.4890370370371,,,,,-49082035,,13897576.32079736,,,-2230386.940484236,941.2151458667444,1.0423843553219785,0.9690277777777777,-0.04347494935031315,0.02330962576897051,,0.14440979113505106,-8.470000000000027,-1.2902341310341716,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-07,625.37,634.79,600.61,625.66,21375671,META,641.0219999999999,653.088,,,,656.1134132214571,668.6668454922471,674.8871546506703,,27.717903904060634,27.012252514299746,18.36644915316369,16.668513922622026,-81.63355084683631,-8.469022017409113,,16.910462244854997,,,,0.0,14.06154235114784,39.22778057181372,666.2509600000001,,,,,,,,,,23.346960419393692,0.0,703.8368,660.3671578947369,,,,,-70457706,,23853710.97029998,,,-2307661.1162203834,941.2151458667444,1.0569088093771333,1.000463725474519,-0.0036150526332552335,0.02326536442253887,,0.7328847279110589,-2.5599999999999454,-0.40768875511600744,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-10,608.07,610.11,586.87,597.99,21395988,META,629.61,646.0740000000001,677.7605,,,646.8431965248499,662.0014817644342,669.4114495476429,657.8664285714286,22.662512881355255,19.83870707552265,9.256638641471744,10.424365440897573,-90.74336135852826,-10.497956984419197,,17.247745058951793,,,,0.0,12.500848686484762,38.80532070059209,655.7484064,,,-163.50952851323146,5.789499999999975,754.0461685033304,601.4748314966696,677.7605,22.51109898063708,-0.022840669584729724,24.450034675151283,23.647954999999985,699.7231266666666,656.1029666666666,677.9130466666667,740.91,586.87,663.89,-91853694,0.07206719536226895,22933057.44190067,15910885.2,1.344739009241296,-3253905.063348214,941.2151458667444,1.0395999113943464,0.9834229611722334,-0.04422529808522191,0.025604582620427984,,0.4784853700516351,-17.589999999999918,-2.8114311287280502,740.91,586.87,-11.769718064124419,1.149946666700857,1,0,0,0,0,1,0,0,1,0,1,2,-1
2025-03-11,595.055,614.934,593.33,605.71,17401469,META,622.7520000000001,640.895,672.176,,,640.3196135133121,656.7980509324904,665.0160074393614,651.0044761904762,26.68048374924932,26.21672738299307,15.863927248231755,14.495671680955729,-84.13607275176825,-7.876806083650184,-15.56872037914691,24.55280562139413,,,,0.0,13.114292353509551,36.38325807818432,643.3502932480001,,,-136.31786667083608,-4.046000000000049,752.2931241121398,592.0588758878603,672.176,23.838138854151225,0.08519479614016298,24.246746484069043,23.545757249999983,694.7105599999999,649.917,672.31378,740.91,586.87,663.89,-74452225,0.06974352767398878,25475134.657416373,16135742.8,1.0784423881620127,-3029253.5797448102,953.3661532850812,1.0364114405137106,1.017905907857257,0.012909914881519713,0.02656113083078005,,0.5730420292538436,-2.935000000000059,-0.49081088312514576,740.91,586.87,-9.8881840470353,1.0831804780626524,1,0,0,0,0,1,0,0,0,0,1,1,0
2025-03-12,629.9,633.33,609.35,619.56,15746966,META,615.3699999999999,635.481,667.164,,,637.0427767239543,653.4179369004596,661.9702312576437,645.9934285714286,33.36872607596885,36.74995118995728,27.94017094017089,17.686912276624795,-72.05982905982911,-8.036217901142956,-13.926090580716869,30.939604440906052,,,,0.0,17.34715412790204,33.504095569298755,586.87,,,-94.65884165020802,-9.663999999999987,747.2786217366094,587.0493782633906,667.164,24.016470234188105,0.2029006755064862,24.4876931637784,23.749469387499985,690.3742266666666,644.5446666666667,667.4594466666666,740.91,586.87,663.89,-58705259,0.04467157746445645,23137386.57734954,16273193.15,0.9676629445033041,-2669187.7411421807,975.1655642622786,1.039353409370641,0.9835846959834894,0.02286572782354579,0.026325024350251486,,0.4257714762301883,24.18999999999994,3.9936603325023428,740.91,586.87,-7.135277083295867,1.098328363416494,0,0,0,0,0,1,0,0,0,0,0,1,-1
2025-03-13,620.245,620.5,586.51,590.64,16480324,META,607.912,628.721,660.4269999999999,,,629.7474363224158,647.8131361127229,657.3199816340446,638.7054285714285,27.688940443166445,27.26712076704088,4.0435924724560826,15.94923022028624,-95.95640752754392,-10.269810403500246,-18.57509167608702,31.133439380681622,,,,0.0,15.700541655649072,36.702193381479255,633.33,,,-125.14517079254533,13.273000000000138,742.464600671887,578.3893993281129,660.4269999999999,24.843805801969655,0.07466454754621565,25.16642936636566,24.261495918124986,685.2248933333333,637.4463333333333,661.3356133333334,740.91,586.51,663.71,-75185583,-0.021526277391589112,10661989.798296873,16496383.5,0.9990264835926007,-3438461.0481342394,975.1655642622786,1.0579529760788393,0.9522688614982788,-0.046678287817160546,0.02877499799909206,,0.12150632538982037,0.6850000000000591,0.11056233456001989,740.91,586.51,-10.566951381454714,1.1202506052311405,1,0,0,0,0,1,0,0,0,0,1,1,0
2025-03-14,602.805,608.86,594.78,607.6,12364505,META,604.3,622.6610000000001,654.379,,,626.2771664629215,644.2766900963595,654.1606462612597,633.6742857142859,34.707789936810215,38.18096579067741,20.648756717699516,17.544173376775497,-79.35124328230047,-9.069140975755765,-16.602613374327433,36.93337711191671,,,,0.0,14.884914994189034,34.79555295387172,633.33,,,-104.99244772208135,3.86099999999999,733.2052136348055,575.5527863651945,654.379,24.091914207150754,0.20327764177077737,24.670255840196685,23.959421122218735,679.3082266666667,631.2176666666667,655.2629466666666,740.91,586.51,663.71,-62821078,-0.02581088108014129,20813529.41477417,16486155.55,0.7499932268927306,-3083419.0516558425,1003.1670676651777,1.023672618447157,1.0079544794751205,0.02871461465528924,0.030389475162749615,,0.9105113636363645,12.164999999999964,2.059630231613159,740.91,586.51,-7.148609597801885,1.0116276259446066,0,0,0,0,0,1,0,0,0,0,0,1,-1
2025-03-17,607.46,613.1,598.0,604.9,15473909,META,605.682,617.646,647.7905,,,622.9370866453022,640.8611713451237,651.1048365629025,628.962,34.139666020072355,37.14572692080441,18.0052459003553,14.232531696836967,-81.99475409964471,-7.655904129455764,-17.887249378962082,44.652037767577326,,,,0.0,15.469572590054382,33.253743925712975,632.3936,,,-92.04026415953051,20.409500000000094,719.7294406302316,575.8515593697683,647.7905,22.210557465795386,0.20189649983547528,23.986666137325496,23.5164500661078,672.8453933333333,624.7738333333333,648.8096133333333,737.0,586.51,661.755,-78294987,-0.05291042162128993,19481338.5737145,16414788.55,0.9426809826313601,-3152180.661761176,1003.1670676651777,1.0252508361204014,0.9957857307477035,-0.004443712969058655,0.030178106985527958,,0.45695364238410374,-0.13999999999998636,-0.023041474654375633,737.0,586.51,-6.621044921158921,0.9438704953649859,0,0,0,0,0,1,0,0,0,0,0,1,-1
2025-03-18,600.05,600.25,574.66,582.36,20297708,META,601.012,611.882,641.0899999999999,,,616.61228484893,635.8502683179371,646.9354899078015,622.7305238095238,29.760150530473922,29.385651796901442,6.755162216009073,15.136388278021295,-93.24483778399093,-9.006249999999998,-18.706813518154025,37.187555143811494,-28.95419700821276,,,0.0,14.12018488697249,37.085587143124684,631.475928,,,-120.83042617548982,13.960000000000036,711.1701318491909,571.009868150809,641.0899999999999,21.86280611121401,0.08097966962744853,24.433332841802248,23.85262756280241,665.8878933333333,618.3133333333333,642.1006133333333,707.0,574.66,640.8299999999999,-98592695,-0.05440436773357835,11398742.070392944,16332738.8,1.2427620528652548,-3908521.1119512888,1003.1670676651777,1.0445306790101974,0.9705191234063829,-0.03726235741444861,0.03130819163716116,,0.3008987885892941,-4.850000000000023,-0.8017854190775373,707.0,574.66,-9.160960239591931,0.9840776000164773,1,0,0,0,0,1,0,0,0,0,1,1,0
2025-03-19,584.28,592.3223,574.77,584.06,20537498,META,593.912,604.641,635.1044999999999,,,611.5485736286357,631.464970688535,643.2021371154784,617.2990952380951,30.484466980572762,30.660272573677034,8.818838540200746,11.19308221885504,-91.18116145979926,-11.030207016314543,-17.00981854867358,36.26709839567747,-29.510663008728102,,,0.0,13.390090713846774,35.16805056007881,629.2032908799999,,,-114.38612555706978,4.895500000000084,703.1680566143878,567.0409433856121,635.1044999999999,21.433813369103145,0.12502326840491784,23.941830495959234,23.537611184662293,660.2682133333333,612.0994233333333,636.1838183333333,705.63,574.66,640.145,-78055197,-0.07385682433010889,12601227.59619852,16482839.7,1.2459927035509544,-3848568.9404422585,1003.1670676651777,1.0305379543121598,0.999623468200178,0.0029191565354762528,0.02926461139050493,,0.5292753656215956,1.919999999999959,0.32969297341849696,705.63,574.66,-8.037181282765275,1.0332436103228015,0,0,0,0,0,1,0,0,0,0,0,1,-1
