Date,Open,High,Low,Close,Volume,Symbol,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,WMA_20,RSI_14,RSI_7,STOCH_K,STOCH_D,WILLIAMS_R,ROC_10,ROC_20,MFI_14,MACD,MACD_SIGNAL,MACD_HISTOGRAM,ADX_14,ADX_POS,ADX_NEG,PSAR,TRIX,MASS_INDEX,CCI_20,DPO_20,BB_HIGH,BB_LOW,BB_MID,BB_WIDTH,BB_PERCENT,ATR_14,ATR_20,KELTNER_HIGH,KELTNER_LOW,KELTNER_MID,DONCHIAN_HIGH,DONCHIAN_LOW,DONCHIAN_MID,OBV,CMF_20,AD_LINE,VOLUME_SMA_20,VOLUME_RATIO,PVT,NVI,HIGH_LOW_RATIO,CLOSE_OPEN_RATIO,DAILY_RETURN,VOLATILITY_10,VOLATILITY_30,PRICE_POSITION,GAP,GAP_PERCENT,RESISTANCE_20,SUPPORT_20,TREND_STRENGTH,VOLUME_TREND,RSI_OVERSOLD,RSI_OVERBOUGHT,MACD_BULLISH,MACD_BEARISH,MA_BULLISH,MA_BEARISH,BB_SQUEEZE,BB_BREAKOUT_UP,BB_BREAKOUT_DOWN,VOLUME_SPIKE,BULLISH_SCORE,BEARISH_SCORE,NET_SIGNAL
2025-02-10,413.71,415.4624,410.92,412.22,20817919,MSFT,,,,,,412.22,412.22,412.22,,,,,,,,,,,,,0.0,0.0,0.0,412.22,,,,,,,,,,0.0,0.0,417.4098666666667,408.3250666666667,,,,,20817919,,-8902061.87601254,,,,1000.0,1.0110542197994743,0.9963984433540404,,,,0.28619232123987653,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,409.64,412.49,409.3,411.44,18140592,MSFT,,,,,,411.7975,411.815,411.82219999999995,,,,,,,,,,,,,0.0,0.0,0.0,411.44,,,,,,,,,,0.0,0.0,415.83826666666664,408.1058666666667,,,,,2677327,,-2703552.3838496683,,,-34325.51006744149,998.1078065110862,1.007793794282922,1.004394102138463,-0.0018921934889137848,,,0.6708463949843222,-2.580000000000041,-0.6258793847945371,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,407.21,410.75,404.3673,409.04,19121734,MSFT,,,,,,410.721247113164,410.8179694430754,410.8574616717771,,,,,,,,,,,,,0.0,0.0,0.0,415.4624,,,,,,,,,,0.0,0.0,415.37055555555554,405.9604888888889,,,,,-16444407,,6172309.135852148,,,-145865.86005771937,998.1078065110862,1.0157844118453694,1.0044939957270205,-0.005833171300797191,,,0.7320883011891551,-4.230000000000018,-1.028096441765511,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-13,407.0,411.0,406.36,410.54,23891731,MSFT,,,,,,410.6640344827586,410.7402613339393,410.7732721311475,,,,,,,,,,,,,0.0,0.0,0.0,415.240498,,,,,,,,,,0.0,0.0,415.0129166666667,405.6353666666667,,,,,7447324,,25326886.575507514,,,-58251.9433258591,998.1078065110862,1.0114184466975096,1.0086977886977888,0.003667123019753582,,,0.9008620689655213,-2.0400000000000205,-0.49872873068649043,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-14,407.79,408.91,405.88,408.43,22758464,MSFT,410.334,,,,,410.05705529818016,410.20450220169744,410.26639102937196,,,,,,,,,,,,,0.0,0.0,0.0,415.02303404,,,,,,,,,,0.0,0.0,414.16433333333333,405.4502933333334,,,,,-15311140,,40874748.12006177,,,-175220.71382325434,992.9779593056046,1.0074652606681778,1.0015694352485347,-0.005139572270667969,,,0.8415841584158371,-2.75,-0.669849466556243,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-18,408.0,410.597,406.5,409.64,21423051,MSFT,409.81800000000004,,,,,409.95568891952456,410.0914369130055,410.1512801438327,,,,,,,,,,,,,0.0,0.0,0.0,414.8099193592,,,,,,,,,,0.0,0.0,413.97183333333334,405.3444666666667,,,,,6111911,,52289568.80178012,,,-111753.5549220954,995.9197200253358,1.0100787207872077,1.0040196078431372,0.002962563964449272,,,0.7664144495972667,-0.4300000000000068,-0.10528119873662728,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-19,407.88,415.49,407.65,414.77,24114197,MSFT,410.48400000000004,,,,,411.02998559314346,410.9234951049993,410.89285787913,,,68.9237077277281,,,,,,,,,,0.0,0.0,0.0,404.3673,,,,,,,,,,0.0,0.0,414.90109523809525,405.26620952380955,,,,,30226108,,71974627.57729018,,,190233.1422022108,995.9197200253358,1.0192321844719736,1.0168922232029027,0.012523191094619746,,,0.9081632653061193,-1.759999999999991,-0.42964554242749514,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-20,415.29,419.31,412.54,416.13,23508728,MSFT,411.90200000000004,,,,,412.09427999279103,411.76239205205826,411.6427361417936,,,73.0654875818709,,,,,,,,,,0.0,0.0,0.0,404.589754,,,,,,,,,,0.0,0.0,415.883875,405.76085,,,,,53734836,,73398346.70284398,,,267316.5139021924,999.1852667602359,1.0164105298880108,1.0020226829444483,0.0032789256696483804,,,0.5302806499261424,0.5200000000000387,0.12537068736891258,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-21,417.335,418.048,407.89,408.21,27524799,MSFT,411.436,,,,,411.32583115713976,411.2358495645042,411.19751070273634,,,38.344420850637846,,,,,,,,,,0.0,0.0,0.0,405.17856384000004,,,,,,,,,,0.0,0.0,416.5124074074074,405.25682962962964,,,,,26210037,,47607734.68453325,,,-256549.6050510205,999.1852667602359,1.0249037730760744,0.9781350713455618,-0.019032513877874746,,,0.03150226422524047,1.204999999999984,0.28957296998533727,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,408.51,409.37,399.32,404.0,26443656,MSFT,410.55,410.442,,,,409.93758900000506,410.2373727488681,410.3414540715021,,,29.616384965713493,,,,,,,,,,0.0,0.0,0.0,419.31,,,,,,,,,,0.0,0.0,416.28916666666663,404.1491466666667,,,,,-233619,,45792200.093488485,,,-529271.4682096875,988.8803502391792,1.0251677852348993,0.9889598785831436,-0.01031331912496014,,,0.4656716417910449,0.30000000000001137,0.07349158521349584,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-25,401.1,401.915,396.7,397.9,29387402,MSFT,408.202,409.01,,,,407.7350004597755,408.6372115948546,408.97095328048306,,,21.387118226700338,,,,-3.4738731745184728,,,,,,0.0,0.0,0.0,418.9102,,,,,,,,,,0.0,0.0,415.17681818181813,403.19225454545455,,,,,-29621021,,29929201.698473893,,,-972992.1419720642,988.8803502391792,1.0131459541215024,0.9920219396659186,-0.015099009900990112,0.009596073533590535,,0.2301054650047903,-2.8999999999999773,-0.7178217821782122,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-26,398.01,403.6,394.245,399.73,19618954,MSFT,405.19399999999996,407.83900000000006,,,,406.3117376573198,407.5428203047351,408.0204367850833,,,28.354740478836007,,,,-2.8461014971806287,,,,,,0.0,0.0,0.0,418.02179199999995,,,,,,,,,,0.0,0.0,414.62430555555557,402.07928888888887,,,,,-10002067,,33316118.930969898,,,-882761.7176946072,993.4283548658133,1.023728899542163,1.0043214994598126,0.004599145513948244,0.009929756592533609,,0.5863174772848747,0.11000000000001364,0.027645136969091138,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-27,401.265,405.74,392.17,392.53,21127406,MSFT,400.474,406.188,,,,403.9187044389203,405.78407111395126,406.52244139718005,,,20.15497621535914,,,,-4.036280070408774,,,,,,0.0,0.0,0.0,416.59518447999994,,,,,,,,,,0.0,0.0,414.2980769230769,400.63036923076925,,,,,-31129473,,13309695.41586291,,,-1263311.8970656851,993.4283548658133,1.0346023408215825,0.9782313433765716,-0.018012158206789697,0.01102439557897183,,0.026529108327189167,1.5349999999999682,0.3840092062141866,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-28,392.655,397.63,386.57,396.99,32845658,MSFT,398.22999999999996,404.83299999999997,,,,402.73896729408926,404.7963922716674,405.650725105462,,33.39342353852541,33.95723299539689,31.82651191203425,,-68.17348808796575,-3.3005310079407635,,36.678237586179456,,,,0.0,0.0,0.0,414.64116972159997,,,,,,,,,,7.450364285714288,0.0,413.61892857142857,399.3474857142857,,,,,1716185,,42354047.60754473,,,-890113.3270710285,993.4283548658133,1.0286106009260936,1.0110402261527296,0.011362188877283463,0.011860283169516556,,0.9421338155515383,0.125,0.03184469976817059,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-03,398.82,398.82,386.155,388.49,23007726,MSFT,395.128,402.839,,,,400.352021338522,403.0324400599571,404.1593211315966,,26.306712594029364,24.529272206942196,7.042678329060577,,-92.95732167093942,-4.882109541414685,,34.22748678369281,,,,0.0,0.0,0.0,411.83405274944,,,,,,,,,,7.822838265306126,0.0,412.96566666666666,397.9569866666667,,,,,-21291541,,27830023.180383377,,,-1382734.478737317,972.1579424716487,1.0327977107638124,0.9740985908429869,-0.021411118667976514,0.013184883458179133,,0.1843663639952651,1.829999999999984,0.4609687901458435,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-04,383.4,392.58,381.0,388.61,29342923,MSFT,393.27000000000004,400.736,,,,398.41155973171936,401.5237343521686,402.8694766664708,,26.543718798223708,24.872823549319563,19.86426520490737,19.577818482000733,-80.13573479509263,-5.133775998437646,,33.26185633267387,,,,0.0,11.193091545557492,29.207114135352175,408.75256641950716,,,,,,,,,,8.091206960641403,0.0,412.0913541666667,396.57321666666667,,,,,8051382,,37053532.65534032,,,-1373670.7943181572,972.1579424716487,1.0303937007874016,1.01358894105373,0.0003088882596720133,0.013034583706636984,,0.6571675302245271,-5.090000000000032,-1.310201034775678,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-05,389.34,401.67,388.81,401.02,23433132,MSFT,393.528,399.361,,,,398.83776135429866,401.4726009163773,402.72248793233575,,45.91583719198606,51.50661272051775,52.257896110676015,26.388279881547987,-47.742103889323985,-3.3150902910046534,,39.54760289789986,,,,0.0,17.510266238936506,26.048230329112414,404.8672071207762,,,,,,,,,,8.446120749167017,0.0,411.96990196078434,395.8516549019608,,,,,31484514,,58117841.04725311,,,-625349.4229689932,1003.2031550654397,1.0330752809855714,1.029999486310166,0.031934330048120074,0.016850579477337112,,0.9494556765163271,0.7299999999999613,0.18784900028305018,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06,394.28,402.15,392.6777,396.89,23304625,MSFT,394.4,397.437,,,,398.52251988090507,401.01984802519866,402.2768859916994,,41.950765699647675,45.27476092756758,41.477421038893205,37.866527451492196,-58.5225789611068,-4.623555139019059,,39.32179774573786,,,,0.0,16.54100348612423,24.019148500392916,381.0,,,,,,,,,,8.519419267083656,0.0,411.67777037037035,395.4025037037037,,,,,8179889,,55540192.9984687,,,-865357.6551020533,992.8714283924053,1.0241223272928408,1.0066196611545095,-0.010298738217545234,0.01681406178347736,,0.4446966417871043,-6.740000000000009,-1.6807141788439501,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
