Date,Open,High,Low,Close,Volume,Symbol
2025-02-10,1023.05,1032.85,1015.88,1027.6,3296566,NFLX
2025-02-11,1020.79,1022.69,1002.95,1008.08,3331797,NFLX
2025-02-12,1005.49,1027.74,998.3473,1027.31,3388966,NFLX
2025-02-13,1026.625,1045.9899,1025.1,1043.69,3476068,NFLX
2025-02-14,1044.95,1064.5,1041.69,1058.6,3145430,NFLX
2025-02-18,1060.0,1062.0,1023.749,1035.85,4229339,NFLX
2025-02-19,1035.18,1044.9999,1024.51,1043.33,2600048,NFLX
2025-02-20,1042.0,1045.0,1015.5941,1024.54,3111831,NFLX
2025-02-21,1029.42,1032.38,999.39,1003.15,3738710,NFLX
2025-02-24,1008.0,1015.17,984.48,988.47,4426227,NFLX
2025-02-25,989.4,994.3999,955.0,977.24,4738304,NFLX
2025-02-26,977.6,1000.89,976.9,990.06,3397205,NFLX
2025-02-27,995.0,1000.7255,961.825,963.07,3766566,NFLX
2025-02-28,969.56,982.27,958.17,980.56,4717409,NFLX
2025-03-03,983.0,994.93,964.81,973.7,3907447,NFLX
2025-03-04,971.61,986.3135,948.21,972.58,4392814,NFLX
2025-03-05,973.62,995.5999,969.48,990.92,3807935,NFLX
2025-03-06,972.99,973.69,899.0,906.36,7852559,NFLX
2025-03-07,897.64,904.8859,858.07,891.11,7737488,NFLX
2025-03-10,875.07,881.27,854.5,866.68,6951652,NFLX
2025-03-11,867.41,910.68,866.0,895.1,7398934,NFLX
2025-03-12,914.6,927.18,901.0,919.68,6865837,NFLX
2025-03-13,913.0,921.8892,887.51,890.17,5001698,NFLX
2025-03-14,901.46,919.625,901.0,918.0,5200684,NFLX
2025-03-17,939.95,967.63,934.42,950.02,7543146,NFLX
2025-03-18,940.0,948.2499,916.3,929.98,6009400,NFLX
2025-03-19,935.77,968.0,924.0,959.49,6662361,NFLX
2025-03-20,950.01,967.0,945.5,950.84,4466305,NFLX
2025-03-21,941.635,963.6532,940.95,960.29,5905429,NFLX
2025-03-24,969.67,977.0,951.55,971.99,4677871,NFLX
2025-03-25,978.18,998.7,977.11,997.28,3782245,NFLX
2025-03-26,993.81,996.79,966.32,970.65,3534707,NFLX
2025-03-27,974.22,989.0,966.3664,976.72,3047237,NFLX
2025-03-28,972.0,974.98,929.23,933.85,4422717,NFLX
2025-03-31,920.53,934.48,900.59,932.53,4634075,NFLX
2025-04-01,927.5,932.29,911.5,928.38,3519956,NFLX
2025-04-02,923.0,949.5479,916.11,935.52,3256886,NFLX
2025-04-03,901.8,946.5919,900.47,917.05,5864622,NFLX
2025-04-04,896.5,906.6282,853.87,855.86,6798806,NFLX
2025-04-07,827.845,906.74,821.1,867.83,6656823,NFLX
2025-04-08,912.44,922.42,857.7,870.4,5625382,NFLX
2025-04-09,855.93,951.43,854.4,945.47,7497974,NFLX
2025-04-10,931.94,941.235,894.0,921.17,5129755,NFLX
2025-04-11,920.0,944.8599,906.68,918.29,4073638,NFLX
2025-04-14,932.7,948.98,919.4979,931.28,4035895,NFLX
2025-04-15,950.0,993.4499,948.0,976.28,7711982,NFLX
2025-04-16,976.28,981.21,949.165,961.63,6066113,NFLX
2025-04-17,969.0,984.7015,956.0,973.03,8893735,NFLX
2025-04-21,984.4,1018.9999,973.05,987.91,9775747,NFLX
2025-04-22,1005.3,1064.97,1004.52,1040.34,9368873,NFLX
2025-04-23,1047.225,1061.25,1032.0001,1049.59,6471876,NFLX
2025-04-24,1048.0,1101.0,1047.02,1096.87,6381896,NFLX
2025-04-25,1097.04,1106.7984,1091.0001,1101.53,3950008,NFLX
2025-04-28,1100.0,1114.0,1082.62,1110.38,3831088,NFLX
2025-04-29,1103.92,1127.81,1095.48,1125.64,3777329,NFLX
2025-04-30,1112.65,1133.2005,1101.1101,1131.72,4266676,NFLX
2025-05-01,1122.52,1142.42,1111.8301,1133.47,3499497,NFLX
2025-05-02,1136.66,1159.44,1133.32,1156.49,3774282,NFLX
2025-05-05,1114.795,1144.02,1107.01,1134.06,5662317,NFLX
2025-05-06,1129.43,1147.66,1126.4,1137.69,3256682,NFLX
2025-05-07,1139.175,1164.0,1138.0,1155.41,4352394,NFLX
2025-05-08,1161.62,1162.2939,1139.2,1144.43,3760872,NFLX
2025-05-09,1147.1,1151.0,1133.22,1140.22,2569633,NFLX
2025-05-12,1124.26,1130.0,1102.9301,1110.0,6479079,NFLX
2025-05-13,1114.46,1147.88,1106.3,1138.44,3997869,NFLX
2025-05-14,1129.595,1152.9003,1128.4,1150.99,3910147,NFLX
2025-05-15,1147.74,1187.8019,1147.647,1177.98,4464041,NFLX
2025-05-16,1193.14,1196.5,1179.39,1191.53,4698353,NFLX
2025-05-19,1173.575,1191.64,1171.71,1191.64,2853415,NFLX
2025-05-20,1186.79,1193.0,1179.02,1192.02,2133066,NFLX
2025-05-21,1186.5,1211.2199,1186.5,1194.63,2976610,NFLX
2025-05-22,1192.4,1198.7499,1187.2082,1187.97,1861588,NFLX
2025-05-23,1184.0,1191.45,1179.44,1185.39,2186483,NFLX
2025-05-27,1195.33,1211.77,1193.09,1211.57,2920469,NFLX
2025-05-28,1210.27,1215.9101,1206.02,1208.55,1855850,NFLX
2025-05-29,1208.0,1209.0,1176.28,1184.86,3303079,NFLX
2025-05-30,1198.33,1211.81,1180.925,1207.23,4696756,NFLX
2025-06-02,1201.2,1219.3999,1196.2501,1218.98,2294216,NFLX
2025-06-03,1219.87,1229.57,1211.18,1217.94,2363762,NFLX
2025-06-04,1220.735,1242.56,1219.88,1239.66,2359381,NFLX
2025-06-05,1240.6,1262.81,1237.2901,1250.52,2821797,NFLX
2025-06-06,1259.41,1259.9999,1235.5501,1241.475,2556956,NFLX
2025-06-09,1238.88,1238.88,1221.57,1224.46,2403117,NFLX
