Date,Open,High,Low,Close,Volume,Symbol,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,WMA_20,RSI_14,RSI_7,STOCH_K,STOCH_D,WILLIAMS_R,ROC_10,ROC_20,MFI_14,MACD,MACD_SIGNAL,MACD_HISTOGRAM,ADX_14,ADX_POS,ADX_NEG,PSAR,TRIX,MASS_INDEX,CCI_20,DPO_20,BB_HIGH,BB_LOW,BB_MID,BB_WIDTH,BB_PERCENT,ATR_14,ATR_20,KELTNER_HIGH,KELTNER_LOW,KELTNER_MID,DONCHIAN_HIGH,DONCHIAN_LOW,DONCHIAN_MID,OBV,CMF_20,AD_LINE,VOLUME_SMA_20,VOLUME_RATIO,PVT,NVI,HIGH_LOW_RATIO,CLOSE_OPEN_RATIO,DAILY_RETURN,VOLATILITY_10,VOLATILITY_30,PRICE_POSITION,GAP,GAP_PERCENT,RESISTANCE_20,SUPPORT_20,TREND_STRENGTH,VOLUME_TREND,RSI_OVERSOLD,RSI_OVERBOUGHT,MACD_BULLISH,MACD_BEARISH,MA_BULLISH,MA_BEARISH,BB_SQUEEZE,BB_BREAKOUT_UP,BB_BREAKOUT_DOWN,VOLUME_SPIKE,BULLISH_SCORE,BEARISH_SCORE,NET_SIGNAL
2025-02-10,1023.05,1032.85,1015.88,1027.6,3296566,NFLX,,,,,,1027.6,1027.6,1027.6,,,,,,,,,,,,,0.0,0.0,0.0,1027.6,,,,,,,,,,0.0,0.0,1042.4133333333332,1008.4733333333334,,,,,3296566,,1256852.210960508,,,,1000.0,1.0167047289049886,1.0044474854601437,,,,0.6906305244549189,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,1020.79,1022.69,1002.95,1008.08,3331797,NFLX,,,,,,1017.0266666666665,1017.4646153846153,1017.6448,,,,,,,,,,,,,0.0,0.0,0.0,1008.08,,,,,,,,,,0.0,0.0,1036.6966666666667,999.9866666666667,,,,,-35231,,-343220.51244374947,,,-63289.87683923672,1000.0,1.0196819382820679,0.9875488592168811,-0.018995718178279386,,,0.2598784194528872,-6.809999999999945,-0.6627092253795198,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,1005.49,1027.74,998.3473,1027.31,3388966,NFLX,,,,,,1021.0402540415704,1021.0019664859536,1020.9962445007334,,,,,,,,,,,,,0.0,0.0,0.0,1032.85,,,,,,,,,,0.0,0.0,1040.1950444444444,996.1265777777777,,,,,3353735,,2946587.847734103,,,1357.5878262657716,1000.0,1.0294413577319235,1.0217008622661587,0.01907586699468289,,,0.985370517169227,-2.590000000000032,-0.25692405364653914,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-13,1026.625,1045.9899,1025.1,1043.69,3476068,NFLX,,,,,,1028.1898936781608,1027.3445491989546,1027.0145359056378,,,,,,,,,,,,,0.0,0.0,0.0,998.3473,,,,,,,,,,0.0,0.0,1044.9337500000001,1001.4374499999999,,,,,6829803,,5657251.629121292,,,56781.942539060125,1000.0,1.0203784021071116,1.0166224278582736,0.015944554224138985,,,0.8899037333831198,-0.6849999999999454,-0.06667899660277282,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-14,1044.95,1064.5,1041.69,1058.6,3145430,NFLX,1033.056,,,,,1036.4522108807944,1034.5928171559158,1033.8468942251993,,,,,,,,,,,,,0.0,0.0,0.0,998.3473,,,,,,,,,,0.0,0.0,1051.4950000000001,1007.57396,,,,,9975233,,7175497.323991934,,,101717.08736175642,1014.2858511627015,1.021897109504747,1.0130628259725345,0.014285851162701535,,,0.7413415168785574,1.259999999999991,0.12072550278339265,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-18,1060.0,1062.0,1023.749,1035.85,4229339,NFLX,1034.7060000000001,,,,,1036.3058419545646,1034.844620852655,1034.2150017949984,,,,,,,,,,,,,0.0,0.0,0.0,1000.993408,,,,,,,,,,0.0,0.0,1056.0431666666666,1006.6919666666666,,,,,5745894,,5622126.598755969,,,10825.851531414359,1014.2858511627015,1.0373636506604647,0.9772169811320753,-0.021490648025694337,,,0.31635774228124475,1.400000000000091,0.132250141696589,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-19,1035.18,1044.9999,1024.51,1043.33,2600048,NFLX,1041.7559999999999,,,,,1037.8732582467499,1036.3537015469708,1035.6784981612216,,,57.83179173089706,,,,,,,,,,0.0,0.0,0.0,1003.53367168,,,,,,,,,,0.0,0.0,1056.3374571428571,1008.1821714285715,,,,,8345942,,7798373.588970635,,,29601.117293831514,1021.6101337969603,1.0199997071770897,1.0078730269131937,0.007221122749432762,,,0.9185013104017055,-0.6699999999998454,-0.06468117970747168,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-20,1042.0,1045.0,1015.5941,1024.54,3111831,NFLX,1041.202,,,,,1035.0908127575776,1034.4502215040084,1034.0836364108532,,,43.67975996657694,,,,,,,,,,0.0,0.0,0.0,1005.9723248128,,,,,,,,,,0.0,0.0,1056.5182666666667,1007.0309166666666,,,,,5234111,,6579912.895126872,,,-26441.845613398087,1021.6101337969603,1.0289543824644116,0.9832437619961611,-0.01800964220332968,,,0.304221261719585,-1.3299999999999272,-0.12747644561164037,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-21,1029.42,1032.38,999.39,1003.15,3738710,NFLX,1033.0939999999998,,,,,1028.7717831256075,1029.8108415453225,1030.0715477201497,,,32.96586439685822,,,,,,,,,,0.0,0.0,0.0,1064.5,,,,,,,,,,0.0,0.0,1055.1973481481482,1003.8774814814814,,,,,1495401,,3693433.849961665,,,-104497.36994626926,1021.6101337969603,1.0330101361830717,0.9744807755823667,-0.020877662170339817,,,0.11397393149439154,4.880000000000109,0.4763113202022478,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,1008.0,1015.17,984.48,988.47,4426227,NFLX,1019.068,1026.062,,,,1021.1346108863671,1024.106207769576,1025.1235480204891,,,27.554343971509553,,,,,,,,,,0.0,0.0,0.0,1063.1978,,,,,,,,,,0.0,0.0,1052.3506133333335,1000.0247333333333,,,,,-2930826,,418112.4042138695,,,-169270.34742720428,1021.6101337969603,1.0311738176499268,0.9806250000000001,-0.014633903204904541,,,0.13000977517106604,4.850000000000023,0.4834770473010041,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-25,989.4,994.3999,955.0,977.24,4738304,NFLX,1007.3459999999999,1021.0259999999998,,,,1013.1029554679851,1018.027645774626,1019.8488879958867,,,24.033319210027585,,,,-4.900739587388079,,,,,,0.0,0.0,0.0,1060.049088,,,,,,,,,,0.0,0.0,1048.9502424242423,994.2176424242424,,,,,-7669130,,1029054.5170212643,,,-223102.1824044923,1021.6101337969603,1.041256439790576,0.9877097230644836,-0.01136099224053333,0.016871850949511737,,0.5644684377371518,0.92999999999995,0.09408479771767984,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-26,977.6,1000.89,976.9,990.06,3397205,NFLX,996.692,1019.2239999999999,,,,1009.0059936325642,1014.5913798214763,1016.7848286331466,,,35.08175579950955,,,,-1.787556543131507,,,,,,0.0,0.0,0.0,1053.74614272,,,,,,,,,,0.0,0.0,1045.9771666666668,991.8072833333334,,,,,-4271925,,1359003.981381404,,,-178535.68072629685,1035.0122068959708,1.024557273006449,1.0127454991816693,0.013118578854733665,0.016943570261061087,,0.5485619007919952,0.36000000000001364,0.036838442961812205,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
