Date,Open,High,Low,Close,Volume,Symbol,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,WMA_20,RSI_14,RSI_7,STOCH_K,STOCH_D,WILLIAMS_R,ROC_10,ROC_20,MFI_14,MACD,MACD_SIGNAL,MACD_HISTOGRAM,ADX_14,ADX_POS,ADX_NEG,PSAR,TRIX,MASS_INDEX,CCI_20,DPO_20,BB_HIGH,BB_LOW,BB_MID,BB_WIDTH,BB_PERCENT,ATR_14,ATR_20,KELTNER_HIGH,KELTNER_LOW,KELTNER_MID,DONCHIAN_HIGH,DONCHIAN_LOW,DONCHIAN_MID,OBV,CMF_20,AD_LINE,VOLUME_SMA_20,VOLUME_RATIO,PVT,NVI,HIGH_LOW_RATIO,CLOSE_OPEN_RATIO,DAILY_RETURN,VOLATILITY_10,VOLATILITY_30,PRICE_POSITION,GAP,GAP_PERCENT,RESISTANCE_20,SUPPORT_20,TREND_STRENGTH,VOLUME_TREND,RSI_OVERSOLD,RSI_OVERBOUGHT,MACD_BULLISH,MACD_BEARISH,MA_BULLISH,MA_BEARISH,BB_SQUEEZE,BB_BREAKOUT_UP,BB_BREAKOUT_DOWN,VOLUME_SPIKE,BULLISH_SCORE,BEARISH_SCORE,NET_SIGNAL
2025-02-10,130.09,135.0,129.96,133.57,216989086,NVDA,,,,,,133.57,133.57,133.57,,,,,,,,,,,,,0.0,0.0,0.0,133.57,,,,,,,,,,0.0,0.0,137.88333333333333,127.80333333333334,,,,,216989086,,93856390.37301509,,,,1000.0,1.038781163434903,1.0267507110461986,,,,0.7162698412698395,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,132.58,134.48,131.02,132.8,178902379,NVDA,,,,,,133.15291666666667,133.1701923076923,133.17729999999997,,,,,,,,,,,,,0.0,0.0,0.0,132.8,,,,,,,,,,0.0,0.0,137.055,128.555,,,,,38086707,,99026979.3614556,,,-1031330.6268622908,994.2352324623795,1.026408181956953,1.0016593754714134,-0.005764767537620563,,,0.5144508670520265,-0.9899999999999807,-0.7411843976940785,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,130.02,132.24,129.08,131.14,160278552,NVDA,,,,,,132.36727482678984,132.44076392311482,132.47085855219302,,,,,,,,,,,,,0.0,0.0,0.0,135.0,,,,,,,,,,0.0,0.0,136.03,128.2566666666667,,,,,-122191845,,147719197.6905671,,,-3034812.5268623196,981.8072920565995,1.024480942051441,1.0086140593754804,-0.012500000000000178,,,0.6518987341772077,-2.780000000000001,-2.0933734939759043,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-13,131.555,136.5,131.17,135.29,197429975,NVDA,,,,,,133.2898649425287,133.23728581979321,133.21848336665332,,,,,,,,,,,,,0.0,0.0,0.0,129.08,,,,,,,,,,0.0,0.0,136.935,128.44,,,,,75238130,,255509296.61176747,,,3212971.492125012,981.8072920565995,1.0406342913776017,1.0283911671924288,0.03164556962025311,,,0.7729831144465281,0.41500000000002046,0.3164556962025473,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-14,136.48,139.25,135.5,138.85,195479557,NVDA,134.32999999999998,,,,,134.80053376585076,134.53889738837802,134.43665573248103,,,,,,,,,,,,,0.0,0.0,0.0,129.08,,,,,,,,,,0.0,0.0,137.87133333333333,129.57533333333336,,,,,270717687,,409286548.11843354,,,8356790.125579092,1007.6424163061487,1.0276752767527675,1.017365181711606,0.026313844334392877,,,0.8933333333333319,1.1899999999999977,0.8795919875822291,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-18,141.27,143.44,137.925,139.4,219176627,NVDA,135.49599999999998,,,,,135.9184460377684,135.51253747072232,135.3487616329169,,,,,,,,,,,,,0.0,0.0,0.0,129.48680000000002,,,,,,,,,,0.0,0.0,139.18777777777777,130.43611111111113,,,,,489894314,,307348552.06131643,,,9224972.65960866,1007.6424163061487,1.039985499365597,0.98676293622142,0.003961109110551142,,,0.2674524025385309,2.420000000000016,1.7428880086424312,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-19,139.51,141.36,137.22,139.23,167536006,NVDA,136.78199999999998,,,,,136.65740771819716,136.17366891073945,135.97192996701,,,80.03155291691962,,,,,,,,,,0.0,0.0,0.0,130.323992,,,,,,,,,,0.0,0.0,139.79095238095238,131.10666666666665,,,,,322358308,,302492435.94537306,,,9020660.457169617,1006.413584091141,1.0301705290773941,0.9979929754139488,-0.0012195121951220633,,,0.48550724637680764,0.10999999999998522,0.07890961262552741,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-20,140.03,140.66,136.7901,140.11,143903583,NVDA,138.576,,,,,137.37791051223812,136.80790938491336,136.56443799820383,,,82.54722324958502,,,,,,,,,,0.0,0.0,0.0,131.11095248,,,,,,,,,,0.0,0.0,140.19915833333334,131.63293333333334,,,,,466261891,,405492134.788161,,,9930199.730602095,1012.7745979100035,1.0282907900498648,1.0005713061486825,0.006320476908712402,,,0.8578774645339717,0.8000000000000114,0.5745888098829357,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-21,140.04,141.46,134.03,134.43,228217585,NVDA,138.404,,,,,136.79470888801492,136.4554510119742,136.2876016625121,,,42.36048237483845,,,,,,,,,,0.0,0.0,0.0,131.8506953312,,,,,,,,,,0.0,0.0,140.62925185185185,131.36371851851854,,,,,238044306,,201847102.68183562,,,678355.588142598,1012.7745979100035,1.0554353502947103,0.9599400171379607,-0.040539576047391335,,,0.05383580080753773,-0.0700000000000216,-0.049960745128842764,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,136.56,138.59,130.08,130.28,251381137,NVDA,136.69,135.51,,,,135.5601740856412,135.60329887605903,135.57307028445493,,,29.93716582680392,,,,,,,,,,0.0,0.0,0.0,143.44,,,,,,,,,,0.0,0.0,140.71566,130.67468000000002,,,,,-13336831,,-37718234.694193244,,,-7082052.9408316,1012.7745979100035,1.065421279212792,0.9540128881077914,-0.030871085323216585,,,0.023501762632196103,2.1299999999999955,1.5844677527337612,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-25,129.98,130.2,124.44,126.63,271428711,NVDA,134.13600000000002,134.816,,,,133.92616754967457,134.439459169089,134.58793745122296,,,23.012093156753124,,,,-5.195777494946468,,,,,,0.0,0.0,0.0,143.1728,,,,,,,,,,0.0,0.0,140.0006,129.82516363636364,,,,,-284765542,,-102748030.03794312,,,-14686557.04852274,1012.7745979100035,1.0462873674059787,0.9742268041237114,-0.028016579674547182,0.023723239315728922,,0.38020833333333354,-0.30000000000001137,-0.2302732575990262,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-26,129.985,133.73,128.49,131.28,322553814,NVDA,132.546,134.66400000000002,,,,133.4556876463389,134.05126982842748,134.24768585404425,,,42.709300451040555,,,,-1.1445783132530196,,,,,,0.0,0.0,0.0,142.423488,,,,,,,,,,0.0,0.0,139.70110555555556,129.5002888888889,,,,,37788272,,-81818965.77076727,,,-2842008.086191548,1012.7745979100035,1.0407813837652735,1.0099626880024617,0.036721156124141174,0.02714240413455086,,0.5324427480916035,3.355000000000018,2.649451156913858,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-27,135.0,135.01,120.01,120.15,443175846,NVDA,128.554,133.565,,,,131.1453147947395,132.42273857544873,132.88437578845574,,,24.911387897328268,,,,-8.38035687052004,,,,,,0.0,0.0,0.0,141.70414848,,,,,,,,,,0.0,0.0,139.7284564102564,128.00462564102565,,,,,-405387574,,-516722195.9787673,,,-40414731.775862455,1012.7745979100035,1.1249895842013165,0.89,-0.084780621572212,0.038036719590361305,,0.00933333333333338,3.719999999999999,2.833638025594149,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-28,118.02,125.09,116.4,124.92,389091145,NVDA,126.652,132.528,,,,130.08534244834155,131.5800917450858,132.1560549062298,,38.58062688915393,37.85912762654658,31.508875739644964,,-68.49112426035504,-7.665015891788005,,30.365249598881846,,,,0.0,0.0,0.0,140.4024995712,,,,,,,,,,6.259635714285713,0.0,139.0926142857143,126.96477142857144,,,,,-16296429,,-142854409.93158674,,,-24967667.59234187,1052.9821287633595,1.074656357388316,1.0584646670055924,0.03970037453183517,0.03904263244725897,,0.9804372842347524,-2.1300000000000097,-1.772784019975039,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-03,123.51,123.7,112.28,114.06,411381373,NVDA,123.40800000000002,130.049,,,,127.40082324395559,129.68484698044165,130.5833633076768,,28.890482019069523,25.966242422653437,5.712451861360723,,-94.28754813863928,-17.853799063737842,,27.2284351604403,,,,0.0,0.0,0.0,138.482299605504,,,,,,,,,,6.715376020408162,0.0,138.35977333333332,125.51778666666668,,,,,-427677802,,-425994304.13298774,,,-60731370.04815361,1052.9821287633595,1.1017100106875668,0.9234879766820501,-0.0869356388088377,0.04429910746085923,,0.1558669001751314,-1.4099999999999966,-1.128722382324685,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-04,110.645,119.31,110.11,115.99,398163305,NVDA,121.28000000000002,127.708,,,,125.51509473362965,128.25225348580494,129.37281728250485,,32.151931426768186,30.493315164327726,17.641764176417627,18.287697259141105,-82.35823582358238,-16.793400286944053,,25.99267070311474,,,,0.0,14.009546156988117,32.31033431010212,135.8620696449536,,,,,,,,,,6.89284916180758,0.0,137.48332916666666,124.29396666666668,,,,,-29514497,,-315201036.6547274,,,-53994081.08927236,1070.799553877451,1.0835528108255381,1.0483076505942428,0.016920918814658847,0.04521154366441017,,0.639130434782608,-3.4150000000000063,-2.9940382254953586,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05,117.58,118.2781,114.51,117.3,284337886,NVDA,118.484,125.51500000000001,,,,124.17280342349586,127.14050411239887,128.4133198408936,,34.352818041408284,33.70356358738252,21.572157215721568,14.975457751166639,-78.42784278427843,-15.750915750915748,,32.00650635779084,,,,0.0,13.450495218848927,31.020990422352885,132.77182128755916,,,,,,,,,,6.669652793107038,0.0,136.4822,123.62537647058825,,,,,254823389,,-178476476.36083928,,,-50782747.089272335,1082.8932465714718,1.032906296393328,0.997618642626297,0.011294077075610032,0.04587347659205343,,0.7404262094955016,1.5900000000000034,1.37080782826106,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06,113.53,115.35,110.22,110.57,321181861,NVDA,116.56800000000001,122.56099999999999,,,,121.97121554208384,125.50336752073898,127.05009062537853,,29.12567248701133,26.396419829653198,1.3801380138013615,13.531353135313521,-98.61986198619864,-21.083434444365153,,26.194582285066545,,,,0.0,12.44556168810834,33.230435125946094,130.05240273305208,,,,,,,,,,6.698963307885107,0.0,135.40967037037038,122.69711481481482,,,,,-66358472,,-455832352.42906606,,,-69210316.77836014,1082.8932465714718,1.0465432770821992,0.9739275962300713,-0.05737425404944585,0.04683888488767403,,0.06822612085769876,-3.769999999999996,-3.2139812446717784,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-07,111.25,113.48,107.56,112.69,341755468,NVDA,114.122,120.38700000000001,,,,120.48099312466074,124.26797348369779,125.99231275899338,,32.60454347976385,31.828223065766807,14.297658862876244,12.416651364133058,-85.70234113712375,-16.171985419921153,,20.448742239909677,,,,0.0,11.661032339321656,33.96809249782134,127.65931440508582,,,,,,,,,,6.643323071607599,0.0,134.44933684210528,121.7827052631579,,,,,275396996,,-205288647.84798566,,,-62657711.26004592,1082.8932465714718,1.0550390479732243,1.0129438202247192,0.019173374333001814,0.0480581238287066,,0.8665540540540531,0.6800000000000068,0.614995025775533,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
