Date,Open,High,Low,Close,Volume,Symbol,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,WMA_20,RSI_14,RSI_7,STOCH_K,STOCH_D,WILLIAMS_R,ROC_10,ROC_20,MFI_14,MACD,MACD_SIGNAL,MACD_HISTOGRAM,ADX_14,ADX_POS,ADX_NEG,PSAR,TRIX,MASS_INDEX,CCI_20,DPO_20,BB_HIGH,BB_LOW,BB_MID,BB_WIDTH,BB_PERCENT,ATR_14,ATR_20,KELTNER_HIGH,KELTNER_LOW,KELTNER_MID,DONCHIAN_HIGH,DONCHIAN_LOW,DONCHIAN_MID,OBV,CMF_20,AD_LINE,VOLUME_SMA_20,VOLUME_RATIO,PVT,NVI,HIGH_LOW_RATIO,CLOSE_OPEN_RATIO,DAILY_RETURN,VOLATILITY_10,VOLATILITY_30,PRICE_POSITION,GAP,GAP_PERCENT,RESISTANCE_20,SUPPORT_20,TREND_STRENGTH,VOLUME_TREND,RSI_OVERSOLD,RSI_OVERBOUGHT,MACD_BULLISH,MACD_BEARISH,MA_BULLISH,MA_BEARISH,BB_SQUEEZE,BB_BREAKOUT_UP,BB_BREAKOUT_DOWN,VOLUME_SPIKE,BULLISH_SCORE,BEARISH_SCORE,NET_SIGNAL
2025-02-10,356.21,362.7,350.51,350.73,77514903,TSLA,,,,,,350.73,350.73,350.73,,,,,,,,,,,,,0.0,0.0,0.0,350.73,,,,,,,,,,0.0,0.0,366.83666666666664,342.45666666666665,,,,,77514903,,-74716990.17637374,,,,1000.0,1.0347778950671878,0.9846158165127313,,,,0.018047579983595352,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,345.8,349.37,325.1,328.5,118543400,TSLA,,,,,,338.68875,339.1875,339.3927,,,,,,,,,,,,,0.0,0.0,0.0,328.5,,,,,,,,,,0.0,0.0,362.715,326.255,,,,,-41028497,,-160046746.9954922,,,-7513528.303823456,1000.0,1.0746539526299599,0.9499710815500289,-0.06338208878624585,,,0.14009064688916276,-4.930000000000007,-1.4056396658398216,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,329.94,346.4,329.12,336.51,105382729,TSLA,,,,,,337.8383833718245,338.2255002464268,338.39311291827755,,,,,,,,,,,,,0.0,0.0,0.0,362.7,,,,,,,,,,0.0,0.0,360.0177777777778,324.19111111111107,,,,,64354232,,-175293090.89016813,,,-4943922.035056347,1024.3835616438355,1.0525036460865338,1.0199127114020732,0.024383561643835483,,,0.4276620370370369,1.4399999999999977,0.4383561643835609,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-13,345.0,358.69,342.85,355.94,89441519,TSLA,,,,,,343.55235632183906,343.17770026133394,343.04647580967617,,,,,,,,,,,,,0.0,0.0,0.0,362.0284,,,,,,,,,,0.0,0.0,362.09666666666664,327.3066666666667,,,,,153795751,,-116907654.8762793,,,220408.04182101414,1083.531202435312,1.0462009625200523,1.0317101449275363,0.05773974027517759,,,0.8263888888888886,8.490000000000009,2.5229562271552135,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-14,360.62,362.0,347.5,355.84,68277279,TSLA,345.504,,,,,346.89086519344374,346.1141397976385,345.81388619747764,,,,,,,,,,,,,0.0,0.0,0.0,329.12,,,,,,,,,,0.0,0.0,363.59999999999997,329.96799999999996,,,,,85518472,,-106642519.13696918,,,201225.79790349596,1083.2267884322678,1.041726618705036,0.9867450501913371,-0.00028094622689223137,,,0.5751724137931017,4.680000000000007,1.3148283418553708,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-18,355.01,359.1,350.02,354.11,51631702,TSLA,346.18,,,,,348.64549474870773,347.71564682347827,347.3384498670759,,,,,,,,,,,,,0.0,0.0,0.0,329.7776,,,,,,,,,,0.0,0.0,363.58166666666665,332.5283333333333,,,,,33886770,,-111760198.85062541,,,-49793.88639281274,1077.9604261796042,1.0259413747785842,0.9974648601447847,-0.004861735611510709,,,0.45044052863436274,-0.8299999999999841,-0.2332508992805711,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-19,354.0,367.34,353.67,360.56,67094374,TSLA,352.592,,,,,351.3041749098606,349.99994845256083,349.46129072125797,,,66.02267247576194,,,,,,,,,,0.0,0.0,0.0,330.422048,,,,,,,,,,0.0,0.0,365.09761904761905,334.57476190476194,,,,,100981144,,-111220302.6443342,,,1172308.6023818566,1077.9604261796042,1.0386518505951874,1.0185310734463278,0.018214679054531002,,,0.504023408924653,-0.11000000000001364,-0.03106379373641344,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-20,361.51,362.3,348.0,354.4,45965354,TSLA,356.16999999999996,,,,,351.95022588989195,350.7089057827639,350.16843798750944,,,54.73551656757438,,,,,,,,,,0.0,0.0,0.0,331.89876608000003,,,,,,,,,,0.0,0.0,365.61041666666665,335.3279166666667,,,,,55015790,,-116041843.273705,,,387011.89548147516,1059.5439733693468,1.0410919540229886,0.9803324942601864,-0.01708453516751729,,,0.4475524475524456,0.9499999999999886,0.26347903261592764,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-21,353.44,354.98,334.42,337.8,74058648,TSLA,352.54200000000003,,,,,349.15080756024776,348.79552255736246,348.56425316060233,,,35.60070505062265,,,,,,,,,,0.0,0.0,0.0,333.3164154368,,,,,,,,,,0.0,0.0,365.3159259259259,333.82925925925923,,,,,-19042858,,-165750468.87681788,,,-3081875.1158052003,1059.5439733693468,1.061479576580348,0.9557492077863287,-0.04683972911963874,,,0.16439688715953282,-0.9599999999999795,-0.27088036117380915,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,338.14,342.3973,324.7,330.53,76052321,TSLA,347.48,346.492,,,,345.6221717644534,346.2750582170767,346.41929740504906,,,30.205435135307596,,,,,,,,,,0.0,0.0,0.0,367.34,,,,,,,,,,0.0,0.0,363.8083066666667,331.93084666666664,,,,,-95095179,,-191695142.78601882,,,-4718643.539931908,1059.5439733693468,1.0545035417308284,0.9774945288933578,-0.021521610420367154,,,0.32942878292168803,0.339999999999975,0.10065127294256217,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
