Date,Open,High,Low,Close,Volume,Symbol
2025-02-10,348.7,351.9,347.7,351.23,6067002,V
2025-02-11,348.3,352.12,346.25,350.72,5154783,V
2025-02-12,349.16,351.83,347.49,351.49,6760066,V
2025-02-13,353.12,356.08,350.73,355.63,4279581,V
2025-02-14,354.43,355.4299,353.22,353.81,5720285,V
2025-02-18,353.69,356.74,352.4,356.73,5822034,V
2025-02-19,356.015,357.15,354.18,355.23,4152269,V
2025-02-20,355.23,356.13,349.06,350.49,5697023,V
2025-02-21,350.49,353.32,347.48,348.53,6924127,V
2025-02-24,348.755,350.8,347.355,349.86,5055927,V
2025-02-25,351.37,352.5867,346.0,352.09,6191949,V
2025-02-26,350.0,351.83,348.99,350.63,5960603,V
2025-02-27,351.9,360.31,351.675,355.74,7298114,V
2025-02-28,354.71,364.0,353.7109,362.71,15857344,V
2025-03-03,363.0,366.54,359.5401,361.82,9099607,V
2025-03-04,360.11,360.27,350.4,352.23,8955804,V
2025-03-05,350.83,354.1065,348.935,352.68,8244242,V
2025-03-06,345.96,348.87,340.3878,344.16,8611119,V
2025-03-07,340.87,346.39,339.14,345.32,6358901,V
2025-03-10,339.94,345.01,337.64,341.48,8190091,V
2025-03-11,338.41,339.61,329.575,332.14,9776072,V
2025-03-12,335.97,336.16,329.11,332.84,6295394,V
2025-03-13,330.99,336.2,327.7,328.55,7915323,V
2025-03-14,327.21,332.7657,326.3808,331.8,7810970,V
2025-03-17,330.03,336.11,329.76,334.55,6149652,V
2025-03-18,335.29,335.8,332.3,334.77,7778631,V
2025-03-19,336.8,341.0313,334.5,339.87,5615204,V
2025-03-20,339.0,342.24,337.66,339.5,5432675,V
2025-03-21,337.37,339.43,335.52,335.66,17279673,V
2025-03-24,338.65,345.22,337.6509,343.87,5675111,V
2025-03-25,344.56,345.53,340.67,344.62,3931161,V
2025-03-26,345.99,347.38,343.0,344.18,6187574,V
2025-03-27,344.0,350.84,343.32,349.86,7254807,V
2025-03-28,349.19,351.615,341.605,342.85,5687616,V
2025-03-31,339.35,351.86,334.49,350.46,9950762,V
2025-04-01,350.44,350.45,342.57,346.35,7473329,V
2025-04-02,343.44,348.2,343.05,346.33,5682521,V
2025-04-03,333.9,344.735,331.0,339.39,8792873,V
2025-04-04,330.0,334.65,312.12,313.13,13201735,V
2025-04-07,302.07,322.18,299.0,312.32,12163443,V
2025-04-08,322.24,326.28,303.93,308.27,9569298,V
2025-04-09,305.635,334.03,305.635,332.43,11361801,V
2025-04-10,328.02,330.16,313.27,324.61,8709762,V
2025-04-11,324.43,336.98,322.54,333.4,6804507,V
2025-04-14,336.41,339.6099,333.14,335.18,5011779,V
2025-04-15,336.72,339.39,335.0,335.81,4386214,V
2025-04-16,335.0,337.2243,328.86,331.33,5850819,V
2025-04-17,331.07,334.3199,328.44,329.61,5655943,V
2025-04-21,329.0,329.15,316.6542,320.1,6362425,V
2025-04-22,323.855,332.56,322.39,331.4,5435531,V
2025-04-23,337.24,341.25,333.2,334.37,8906235,V
2025-04-24,333.28,336.77,331.25,335.71,8055174,V
2025-04-25,334.76,336.365,332.17,335.17,4452757,V
2025-04-28,336.775,339.335,335.02,337.51,5422903,V
2025-04-29,338.5,342.27,336.46,341.52,5519533,V
2025-04-30,334.44,346.52,333.24,345.5,9526712,V
2025-05-01,345.58,345.72,340.12,342.45,5849940,V
2025-05-02,347.22,350.09,346.12,347.6,6113683,V
2025-05-05,347.0,351.05,346.1208,348.64,3865342,V
2025-05-06,346.4,349.65,345.7579,347.7,3438464,V
2025-05-07,348.7,351.15,347.21,349.85,5454135,V
2025-05-08,352.0,355.33,350.945,351.27,4156386,V
2025-05-09,351.83,353.8,350.67,352.54,3086734,V
2025-05-12,359.14,361.89,351.13,355.85,7985428,V
2025-05-13,355.52,358.87,354.58,356.14,5406243,V
2025-05-14,356.67,358.41,355.2128,356.46,6208010,V
2025-05-15,356.89,363.73,356.675,362.3,5826126,V
2025-05-16,362.95,366.19,360.89,365.12,5838075,V
2025-05-19,363.02,369.1499,362.321,367.9,5081519,V
2025-05-20,367.78,368.25,364.69,366.84,5281778,V
2025-05-21,363.72,365.989,358.08,358.3,6125536,V
2025-05-22,357.755,360.0,356.56,357.97,4936568,V
2025-05-23,353.745,356.0,352.22,353.54,5346050,V
2025-05-27,355.41,360.0,354.48,359.3,6316301,V
2025-05-28,359.34,360.91,358.04,359.73,3299041,V
2025-05-29,360.35,363.04,358.72,362.4,4590972,V
2025-05-30,361.35,367.04,361.35,365.19,8726858,V
2025-06-02,362.77,365.46,359.96,365.32,3845997,V
2025-06-03,364.58,366.88,361.5,365.86,5221424,V
2025-06-04,366.71,369.66,366.31,368.0,4202306,V
2025-06-05,370.0,371.0,365.93,366.77,6884638,V
2025-06-06,369.01,371.0,367.55,370.22,5008493,V
2025-06-09,369.79,369.79,362.05,366.66,5000275,V
2025-06-10,367.0,371.44,366.68,370.7,4109266,V
2025-06-11,370.0,375.51,369.38,373.31,5562874,V
2025-06-12,372.23,374.17,369.545,371.4,4874007,V
2025-06-13,361.505,363.01,345.0,352.85,14181686,V
2025-06-16,356.49,360.22,354.33,355.48,7234665,V
2025-06-17,353.49,359.6024,353.32,357.84,5559643,V
2025-06-18,357.85,358.475,338.04,340.38,15008618,V
2025-06-20,338.95,340.0,334.92,338.57,19332082,V
2025-06-23,337.5,344.3,335.63,343.75,7553346,V
2025-06-24,351.52,354.56,347.92,351.63,10171951,V
2025-06-25,350.45,351.2899,345.26,345.26,6836286,V
2025-06-26,343.775,346.9099,342.03,346.03,8829456,V
2025-06-27,346.59,352.01,345.66,348.61,6601921,V
2025-06-30,349.35,355.61,349.06,355.05,7080119,V
2025-07-01,353.82,357.0,351.42,355.47,6653409,V
2025-07-02,354.6,356.36,350.0,354.22,5131422,V
2025-07-03,354.59,359.0,353.61,358.86,3702810,V
